,Poker_group_id,value,revenuedate
0,GOP1,0.0089,2020-01-01 00:00:00+00:00
1,GOP1,0,2020-01-02 00:00:00+00:00
2,GOP1,0,2020-01-03 00:00:00+00:00
3,GOP1,0,2020-01-04 00:00:00+00:00
4,GOP1,0,2020-01-05 00:00:00+00:00
5,GOP1,0,2020-01-06 00:00:00+00:00
6,GOP1,0,2020-01-07 00:00:00+00:00
7,GOP1,0,2020-01-08 00:00:00+00:00
8,GOP1,0,2020-01-09 00:00:00+00:00
9,GOP1,0,2020-01-10 00:00:00+00:00
10,GOP1,0,2020-01-11 00:00:00+00:00
11,GOP1,0,2020-01-12 00:00:00+00:00
12,GOP1,0,2020-01-13 00:00:00+00:00
13,GOP1,0.009,2020-01-14 00:00:00+00:00
14,GOP1,0.0359,2020-01-15 00:00:00+00:00
15,GOP1,0,2020-01-16 00:00:00+00:00
16,GOP1,0,2020-01-17 00:00:00+00:00
17,GOP1,0,2020-01-18 00:00:00+00:00
18,GOP1,0,2020-01-19 00:00:00+00:00
19,GOP1,0,2020-01-20 00:00:00+00:00
20,GOP1,0,2020-01-21 00:00:00+00:00
21,GOP1,0,2020-01-22 00:00:00+00:00
22,GOP1,0,2020-01-23 00:00:00+00:00
23,GOP1,0.0181,2020-01-24 00:00:00+00:00
24,GOP1,0,2020-01-25 00:00:00+00:00
25,GOP1,0.0091,2020-01-26 00:00:00+00:00
26,GOP1,0,2020-01-27 00:00:00+00:00
27,GOP1,0,2020-01-28 00:00:00+00:00
28,GOP1,0,2020-01-29 00:00:00+00:00
29,GOP1,0,2020-01-30 00:00:00+00:00
30,GOP1,0,2020-01-31 00:00:00+00:00
31,GOP1,0,2020-02-01 00:00:00+00:00
32,GOP1,0.018,2020-02-02 00:00:00+00:00
33,GOP1,0,2020-02-03 00:00:00+00:00
34,GOP1,0,2020-02-04 00:00:00+00:00
35,GOP1,0,2020-02-05 00:00:00+00:00
36,GOP1,0,2020-02-06 00:00:00+00:00
37,GOP1,0,2020-02-07 00:00:00+00:00
38,GOP1,0,2020-02-08 00:00:00+00:00
39,GOP1,0,2020-02-09 00:00:00+00:00
40,GOP1,0,2020-02-10 00:00:00+00:00
41,GOP1,0,2020-02-11 00:00:00+00:00
42,GOP1,0,2020-02-12 00:00:00+00:00
43,GOP1,0,2020-02-13 00:00:00+00:00
44,GOP1,0,2020-02-14 00:00:00+00:00
45,GOP1,0.037,2020-02-15 00:00:00+00:00
46,GOP1,0,2020-02-16 00:00:00+00:00
47,GOP1,0,2020-02-17 00:00:00+00:00
48,GOP1,0,2020-02-18 00:00:00+00:00
49,GOP1,0,2020-02-19 00:00:00+00:00
50,GOP1,0.0186,2020-02-20 00:00:00+00:00
