revenuedate,totalrevenue
2020-05-07 00:00:00.000000,29707.1161
2020-05-08 00:00:00.000000,30621.0705
2020-05-09 00:00:00.000000,25640.85
2020-05-10 00:00:00.000000,21295.9013
2020-05-11 00:00:00.000000,28534.1968
2020-05-12 00:00:00.000000,30286.3909
2020-05-13 00:00:00.000000,27691.6931
2020-05-14 00:00:00.000000,23652.3218
2020-05-15 00:00:00.000000,29461.4881
2020-05-16 00:00:00.000000,23192.1788
2020-05-17 00:00:00.000000,21138.5733
2020-05-18 00:00:00.000000,23047.028
2020-05-19 00:00:00.000000,21517.5003
2020-05-20 00:00:00.000000,21043.3333
2020-05-21 00:00:00.000000,20990.5553
2020-05-22 00:00:00.000000,26655.1776
2020-05-23 00:00:00.000000,21634.4378
2020-05-24 00:00:00.000000,18515.8535
2020-05-25 00:00:00.000000,20712.3942
2020-05-26 00:00:00.000000,26534.4606
2020-05-27 00:00:00.000000,25818.1784
2020-05-28 00:00:00.000000,25444.0273
2020-05-29 00:00:00.000000,26722.7328
2020-05-30 00:00:00.000000,24367.8843
2020-05-31 00:00:00.000000,19412.0617
2020-06-01 00:00:00.000000,26705.0693
2020-06-02 00:00:00.000000,35747.0061
2020-06-03 00:00:00.000000,60694.6475
2020-06-04 00:00:00.000000,43339.8661
2020-06-05 00:00:00.000000,38266.9493
2020-06-06 00:00:00.000000,28147.2855
2020-06-07 00:00:00.000000,22787.1959
2020-06-08 00:00:00.000000,22314.9768
2020-06-09 00:00:00.000000,22251.504
2020-06-10 00:00:00.000000,28133.9019
2020-06-11 00:00:00.000000,26927.301
2020-06-12 00:00:00.000000,36072.6344
2020-06-13 00:00:00.000000,24843.1767
2020-06-14 00:00:00.000000,24056.2492
2020-06-15 00:00:00.000000,21070.4942
2020-06-16 00:00:00.000000,18929.9993
2020-06-17 00:00:00.000000,25703.0624
2020-06-18 00:00:00.000000,25674.852
2020-06-19 00:00:00.000000,25968.7742
2020-06-20 00:00:00.000000,21022.5838
2020-06-21 00:00:00.000000,18227.4627
2020-06-22 00:00:00.000000,22054.6342
2020-06-23 00:00:00.000000,22531.6225
2020-06-24 00:00:00.000000,28903.49
2020-06-25 00:00:00.000000,34391.2596
2020-06-26 00:00:00.000000,26413.3361
2020-06-27 00:00:00.000000,22346.1189
2020-06-28 00:00:00.000000,20948.0933
2020-06-29 00:00:00.000000,22350.5694
2020-06-30 00:00:00.000000,24152.7782
2020-07-01 00:00:00.000000,31758.7111
2020-07-02 00:00:00.000000,92461.0694
2020-07-03 00:00:00.000000,51450.5501
2020-07-04 00:00:00.000000,30172.8773
